日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
2025-12-28,EUR,本行買入,36.12000,36.63500,36.71800,36.69300,36.66800,36.65200,36.62100,36.59000,36.54100,本行賣出,37.46000,37.23500,37.12700,37.12200,37.10300,37.09100,37.07700,37.06300,37.04900,
2025-12-28,KRW,本行買入,0.01963,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02353,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,MYR,本行買入,6.70800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.23300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2025-12-28,CNY,本行買入,4.38700,4.45400,4.45520,4.45370,4.45330,4.45260,4.45020,4.44730,4.44540,本行賣出,4.54900,4.51400,4.50610,4.50620,4.50590,4.50500,4.50460,4.50430,4.50390,
2026-01-03,美金 (USD),30.755,31.425,31.08
2026-01-03,港幣 (HKD),3.847,4.051,3.968
2026-01-03,英鎊 (GBP),40.48,42.6,41.375
2026-01-03,澳幣 (AUD),20.35,21.13,20.565
2026-01-03,加拿大幣 (CAD),22.15,23.06,22.48
2026-01-03,新加坡幣 (SGD),23.54,24.45,24.01
2026-01-03,瑞士法郎 (CHF),38.37,39.57,38.98
2026-01-03,日圓 (JPY),0.1908,0.2036,0.1976
2026-01-03,南非幣 (ZAR),-,-,1.804
2026-01-03,瑞典幣 (SEK),-,-,3.31
2026-01-03,紐元 (NZD),17.61,18.46,17.94
2026-01-03,泰幣 (THB),0.8586,1.0486,0.969
2026-01-03,菲國比索 (PHP),0.4614,0.5934,-
2026-01-03,印尼幣 (IDR),0.00148,0.00218,-
2026-01-03,歐元 (EUR),35.76,37.1,36.275
2026-01-03,韓元 (KRW),0.01935,0.02325,-
2026-01-03,越南盾 (VND),0.00094,0.00135,-
2026-01-03,馬來幣 (MYR),6.572,8.097,-
2026-01-03,人民幣 (CNY),4.322,4.484,4.389
