date,filename,file_sha256,header_sha256,data_sha256,size_bytes,mtime_iso,data_rows
2025-12-06,20251206_台銀匯率試算表.csv,2f8d8c721cc25a92f11ba4669a7346e219e8d1a647d948345809c4f51b999d24,eb8f668768ae34b504d6337e40314b0d2e47ecbe7c73d1b2fc8931707a3b2b34,a4eabd0b68aa4715d2f23e4ed5417f184a5fa44261fb9de9c7368a60c36e4ea0,3715,2025-12-06 09:56:15,19
2025-12-12,20251212_台銀匯率試算表.csv,15446a1ba0d6d64e08401f74a20c4a45d95301d4582f358a2fea6b138750a6bc,4f7fd0bbf3d57484fada881ce4f2a5049e8d62746b88e45f9fb03e3ab684830f,9540652f583dcb4f6109d174b2f3e19c55afea935ec69677c0ec62777dc122a1,580,2025-12-13 09:44:39,19
2025-12-20,20251220_台銀匯率試算表.csv,b069a37d8aed181ebb64023fb795e9549ce0436f51cd09fce8d87b929e96565d,61696bee00c5849d9a61e76833f05b649e60b6089c41504c19a617d4c162d99a,0c9807da0a8d47480d2bfc2cf78909819e3b660eb2e320fb12e0c9ce8edfdfb2,685,2025-12-20 15:41:15,19
2025-12-25,20251225_台銀匯率試算表.csv,b069a37d8aed181ebb64023fb795e9549ce0436f51cd09fce8d87b929e96565d,61696bee00c5849d9a61e76833f05b649e60b6089c41504c19a617d4c162d99a,0d05c9f8e25d4c705afb1a4d0ad2a6e0426e6fc512e2124a8a1e625c81e9a3fe,685,2026-01-03 09:40:43,19
2025-12-28,20251228_台銀匯率試算表.csv,42c6a5514903a2f3d577237b19267f00cb66e1eb1a2bae14cd0dd9c94006b608,eb8f668768ae34b504d6337e40314b0d2e47ecbe7c73d1b2fc8931707a3b2b34,d380f089c61958780c0b48c2ed9d52875c8d0e5c9712439dac3786489b2537cf,3715,2025-12-20 09:19:55,19
2026-01-03,20260103_台銀匯率試算表.csv,b069a37d8aed181ebb64023fb795e9549ce0436f51cd09fce8d87b929e96565d,61696bee00c5849d9a61e76833f05b649e60b6089c41504c19a617d4c162d99a,da30e84ceb54dfa3ee5dde931a2981df2c1b0ead1c23f64b0d8664eeab4ef88c,685,2026-01-03 14:25:20,19
