keyword,areas,title,company,location,salary_text,post_date,url,job_id,snapshot_time
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",VIS250073-【2026研發替代役RDSS】智慧製造軟體開發工程師(桃園廠),世界先進積體電路股份有限公司,桃園市蘆竹區,,20260131,https://www.104.com.tw/job/8twi6,14832078,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",python工程師,三弦科技有限公司,新北市新莊區,,20260123,https://www.104.com.tw/job/8b8bs,13960936,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",A1.python工程師,三弦科技有限公司,新北市新莊區,,20260128,https://www.104.com.tw/job/8x9fu,14988810,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",【智慧安防部】Python工程師 (八德),昇銳智慧科技股份有限公司,桃園市八德區,,20260129,https://www.104.com.tw/job/8tnzu,14821050,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",【KD科定】VBA工程師《另享年終績效與季度分紅獎金唷》,KD_科定企業股份有限公司,新北市新莊區,,20260129,https://www.104.com.tw/job/8xyxw,15021860,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",上層應用開發工程師,方見科技股份有限公司,新北市新莊區,,20251109,https://www.104.com.tw/job/8i88f,14287407,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",軟體工程師,盛源精密工業股份有限公司,新北市新莊區,,20260126,https://www.104.com.tw/job/8xv5r,15016959,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",Tech Lead兼系統架構師System Architect,台北雙星股份有限公司,新北市新莊區,,20260126,https://www.104.com.tw/job/8uitr,14861007,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",網站可靠度工程師 SRE (Site Reliability Engineer),飛騰軟體科技有限公司,新北市新莊區,,20260129,https://www.104.com.tw/job/8dks3,14070387,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",後端工程師,三弦科技有限公司,新北市新莊區,,20260123,https://www.104.com.tw/job/8bl7t,13977641,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",資深系統工程師,騰雲運算股份有限公司,新北市新莊區,,20260126,https://www.104.com.tw/job/6im29,10946097,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",自動化測試工程師 (Automation QA Engineer),飛騰軟體科技有限公司,新北市新莊區,,20260126,https://www.104.com.tw/job/8ut2y,14874298,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",後端工程師,正啟科技股份有限公司,新北市林口區,,20260130,https://www.104.com.tw/job/87ps5,13796933,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",林口-系統開發工程師,志聖工業股份有限公司,新北市林口區,,20260126,https://www.104.com.tw/job/8hif1,14253949,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",AWS 雲端 devOps / SRE 工程師,美商德樂道科技有限公司台灣分公司,桃園市中壢區,,20251231,https://www.104.com.tw/job/8x1yu,14979126,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",電腦視覺/影像處理演算法工程師,磐石智慧科技股份有限公司,桃園市中壢區,,20260121,https://www.104.com.tw/job/8usa2,14873258,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",軟體工程師,弘凱光電股份有限公司,桃園市桃園區,,20260113,https://www.104.com.tw/job/8vx6r,14926275,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",人工智慧語言模型工程師,正啟科技股份有限公司,新北市林口區,,20260130,https://www.104.com.tw/job/8v6wd,14892205,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",軟體測試工程師,樺康智雲股份有限公司,桃園市中壢區,,20260112,https://www.104.com.tw/job/7r0i4,13017676,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",AI 數位行銷技術專員/主管,百一電子股份有限公司,桃園市中壢區,,20260115,https://www.104.com.tw/job/8xjzb,15002471,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",[研發部] AI Agent 開發工程師,盛晶科技股份有限公司,桃園市桃園區,,20251029,https://www.104.com.tw/job/8uicg,14860384,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",Full-Stack Engineer 全端工程師,智穎智能股份有限公司,桃園市桃園區,,20251117,https://www.104.com.tw/job/8ql9z,14677559,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",數位聯通部 Python程式設計師,聯新國際醫療集團_聯新健康股份有限公司,桃園市平鎮區,,20260126,https://www.104.com.tw/job/8rjoa,14722138,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",【IT】AI資深工程師【林口】(可年後上班),神達電腦股份有限公司,桃園市龜山區,,20251218,https://www.104.com.tw/job/6qfav,11310583,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",全端工程師,智遊旅程股份有限公司,桃園市中壢區,,20260130,https://www.104.com.tw/job/8pxmj,14646907,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",後端工程師,日山能源科技有限公司,桃園市龍潭區,,20260127,https://www.104.com.tw/job/8dldt,14071169,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",系統分析師 數據工程師,智遊旅程股份有限公司,桃園市中壢區,,20260130,https://www.104.com.tw/job/8pxmp,14646913,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",後端工程師,錸特霖科技股份有限公司,桃園市龜山區,,20260128,https://www.104.com.tw/job/8d4ms,14049460,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",CAM智動化開發工程師,CHPT_中華精測科技股份有限公司,桃園市平鎮區,,20260129,https://www.104.com.tw/job/8rtcn,14734679,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",數位聯通部 Python程式設計師,聯新國際醫療集團 (聯新國際醫院) (聯新健康),桃園市平鎮區,,20260127,https://www.104.com.tw/job/8s3wf,14748351,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",軟體開發工程師(H-2025023),信通交通器材股份有限公司,桃園市龍潭區,,20260126,https://www.104.com.tw/job/7stt0,13102308,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",Head of Software (AI演算法),泰科動力股份有限公司,桃園市龜山區,,20260127,https://www.104.com.tw/job/8u1d1,14838373,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",軟體助理工程師 (桃園市中壢區),盈吉資訊有限公司,桃園市中壢區,,20260131,https://www.104.com.tw/job/7s4x6,13070058,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",智慧工廠數位孿生工程師(工業工程系統3D模擬),華新麗華股份有限公司,桃園市楊梅區,,20260127,https://www.104.com.tw/job/8svs6,14784486,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",AI應用開發工程師(EDA),CHPT_中華精測科技股份有限公司,桃園市平鎮區,,20260126,https://www.104.com.tw/job/8rte1,14734729,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",軟體工程師  (桃園市中壢區),盈吉資訊有限公司,桃園市中壢區,,20260130,https://www.104.com.tw/job/73bwk,11912708,2026-01-31 11:00
Python工程師,"桃園市,新北市新北市林口區,新北市新北市新莊區",AI 應用工程師,全球儀器科技股份有限公司,桃園市桃園區,,20260127,https://www.104.com.tw/job/8qlnx,14678061,2026-01-31 11:00
